Patient Subset,Feature Subset,Engaged,Seed,Summarized,Vectorizer,RandomForest_accuracy,RandomForest_roc_auc,RandomForest_sensitivity,RandomForest_specificity,AdaBoost_accuracy,AdaBoost_roc_auc,AdaBoost_sensitivity,AdaBoost_specificity,XGBoost_accuracy,XGBoost_roc_auc,XGBoost_sensitivity,XGBoost_specificity,Run ID
1,3,1,2,1,1,0.8547,0.6133,0.0,1.0,0.8547,0.6007,0.0,1.0,0.8547,0.5865,0.04,1.0,371
1,3,1,2,1,2,0.8547,0.6805,0.04,1.0,0.8547,0.6631,0.04,1.0,0.8547,0.6771,0.04,0.9796,372
1,3,1,3,0,1,0.8488,0.7139,0.0,1.0,0.8488,0.7428,0.0769,0.9932,0.843,0.7563,0.0769,0.9795,373
1,3,1,3,0,2,0.8488,0.7229,0.0,0.9932,0.8488,0.7403,0.0385,0.9863,0.8372,0.6777,0.0385,0.9589,374
1,3,1,3,1,1,0.8488,0.6646,0.0,1.0,0.8488,0.7434,0.0,1.0,0.8488,0.6877,0.0769,0.9932,375
1,3,1,3,1,2,0.8488,0.7229,0.0,0.9932,0.8488,0.7403,0.0385,0.9863,0.8372,0.6777,0.0385,0.9589,376
1,3,1,4,0,1,0.8663,0.7543,0.0,1.0,0.8663,0.7441,0.1304,0.9866,0.8663,0.6708,0.0435,0.9866,377
1,3,1,4,0,2,0.8605,0.653,0.087,0.9664,0.8663,0.639,0.0435,0.9866,0.8605,0.6879,0.2174,0.9664,378
1,3,1,4,1,1,0.8663,0.6539,0.0,1.0,0.8663,0.6679,0.0,1.0,0.8605,0.697,0.1304,0.9597,379
1,3,1,4,1,2,0.8605,0.653,0.087,0.9664,0.8663,0.639,0.0435,0.9866,0.8605,0.6879,0.2174,0.9664,380
1,3,1,5,0,1,0.907,0.6817,0.0,1.0,0.907,0.776,0.0625,1.0,0.9128,0.7552,0.125,0.9808,381
1,3,1,5,0,2,0.907,0.6903,0.125,0.9744,0.907,0.6781,0.125,0.9936,0.8953,0.5976,0.0625,0.9615,382
1,3,1,5,1,1,0.907,0.6322,0.0,1.0,0.907,0.6538,0.0,1.0,0.907,0.6921,0.0625,0.9808,383
1,3,1,5,1,2,0.907,0.6903,0.125,0.9744,0.907,0.6781,0.125,0.9936,0.8953,0.5976,0.0625,0.9615,384
1,3,1,6,0,1,0.8256,0.6566,0.0,1.0,0.8256,0.6128,0.0333,0.993,0.8256,0.6948,0.0,0.9718,385
1,3,1,6,0,2,0.8256,0.6972,0.0,0.9859,0.8256,0.6642,0.0667,0.9789,0.8198,0.6582,0.0,0.9718,386
1,3,1,6,1,1,0.8256,0.6101,0.0,1.0,0.8256,0.6487,0.0,1.0,0.8256,0.6709,0.0,1.0,387
1,3,1,6,1,2,0.8256,0.6972,0.0,0.9859,0.8256,0.6642,0.0667,0.9789,0.8198,0.6582,0.0,0.9718,388
1,3,1,7,0,1,0.8953,0.7514,0.0,1.0,0.8953,0.6209,0.0,1.0,0.8953,0.6185,0.0556,1.0,389
1,3,1,7,0,2,0.8953,0.6494,0.0556,0.9935,0.8953,0.7155,0.0556,0.9805,0.8953,0.6977,0.0556,0.974,390
1,3,1,7,1,1,0.8953,0.636,0.0,1.0,0.8953,0.7872,0.0,1.0,0.9012,0.7175,0.1667,0.987,391
1,3,1,7,1,2,0.8953,0.6494,0.0556,0.9935,0.8953,0.7155,0.0556,0.9805,0.8953,0.6977,0.0556,0.974,392
1,3,1,8,0,1,0.814,0.7148,0.0,1.0,0.814,0.6538,0.0,1.0,0.814,0.655,0.0,0.9714,393
1,3,1,8,0,2,0.814,0.6429,0.0,1.0,0.814,0.6405,0.0312,0.9786,0.814,0.6575,0.0312,0.9571,394
1,3,1,8,1,1,0.814,0.6542,0.0,1.0,0.814,0.65,0.0,1.0,0.814,0.6833,0.1562,0.9571,395
1,3,1,8,1,2,0.814,0.6429,0.0,1.0,0.814,0.6405,0.0312,0.9786,0.814,0.6575,0.0312,0.9571,396
1,3,1,9,0,1,0.8547,0.5992,0.0,1.0,0.8547,0.726,0.04,0.9932,0.8547,0.6467,0.04,0.9796,397
1,3,1,9,0,2,0.8547,0.692,0.08,0.9796,0.8547,0.6849,0.04,0.9728,0.8372,0.6063,0.04,0.9524,398
1,3,1,9,1,1,0.8547,0.6106,0.0,1.0,0.8547,0.6899,0.0,1.0,0.8605,0.5984,0.08,0.9728,399
1,3,1,9,1,2,0.8547,0.692,0.08,0.9796,0.8547,0.6849,0.04,0.9728,0.8372,0.6063,0.04,0.9524,400
1,3,1,10,0,1,0.8256,0.666,0.0,1.0,0.8256,0.6646,0.0333,0.9859,0.8198,0.6893,0.0333,0.9859,401
1,3,1,10,0,2,0.8256,0.7223,0.0,0.9789,0.8256,0.7185,0.0,1.0,0.8256,0.6804,0.1,0.9789,402
1,3,1,10,1,1,0.8256,0.63,0.0,1.0,0.8256,0.7716,0.0,1.0,0.8256,0.744,0.0333,1.0,403
1,3,1,10,1,2,0.8256,0.7223,0.0,0.9789,0.8256,0.7185,0.0,1.0,0.8256,0.6804,0.1,0.9789,404
1,3,1,11,0,1,0.8314,0.6641,0.0,1.0,0.8314,0.7105,0.0345,1.0,0.8256,0.6906,0.0,0.986,405
1,3,1,11,0,2,0.8314,0.639,0.0345,0.993,0.8314,0.5959,0.1034,0.986,0.8314,0.5989,0.069,0.979,406
1,3,1,11,1,1,0.8314,0.5804,0.0,1.0,0.8314,0.6601,0.0,1.0,0.8314,0.6321,0.0345,0.993,407
1,3,1,11,1,2,0.8314,0.639,0.0345,0.993,0.8314,0.5959,0.1034,0.986,0.8314,0.5989,0.069,0.979,408
1,3,1,12,0,1,0.8895,0.8029,0.0,1.0,0.8895,0.6878,0.0,1.0,0.8953,0.6256,0.0526,0.9673,409
1,3,1,12,0,2,0.8895,0.6316,0.1053,0.9804,0.8895,0.597,0.2105,0.9673,0.8953,0.5686,0.2105,0.9477,410
1,3,1,12,1,1,0.8895,0.6171,0.0,1.0,0.8895,0.532,0.0,1.0,0.8895,0.5917,0.1053,0.9804,411
1,3,1,12,1,2,0.8895,0.6316,0.1053,0.9804,0.8895,0.597,0.2105,0.9673,0.8953,0.5686,0.2105,0.9477,412
1,3,1,13,0,1,0.8547,0.7181,0.0,1.0,0.8547,0.7,0.0,1.0,0.8547,0.7245,0.0,1.0,413
